First,Freq,,,,
JAMES,3.318,,,,
JOHN,3.271,,,,
ROBERT,3.143,,,,
MICHAEL,2.629,,,,
WILLIAM,2.451,,,,
DAVID,2.363,,,,
RICHARD,1.703,,,,
CHARLES,1.523,,,,
JOSEPH,1.404,,,,
THOMAS,1.38,,,,
CHRISTOPHER,1.035,,,,
DANIEL,0.974,,,,
PAUL,0.948,,,,
MARK,0.938,,,,
DONALD,0.931,,,,
GEORGE,0.927,,,,
KENNETH,0.826,,,,
STEVEN,0.78,,,,
EDWARD,0.779,,,,
BRIAN,0.736,,,,
RONALD,0.725,,,,
ANTHONY,0.721,,,,
KEVIN,0.671,,,,
JASON,0.66,,,,
MATTHEW,0.657,,,,
GARY,0.65,,,,
TIMOTHY,0.64,,,,
JOSE,0.613,,,,
LARRY,0.598,,,,
JEFFREY,0.591,,,,
FRANK,0.581,,,,
SCOTT,0.546,,,,
ERIC,0.544,,,,
STEPHEN,0.54,,,,
ANDREW,0.537,,,,
RAYMOND,0.488,,,,
GREGORY,0.441,,,,
JOSHUA,0.435,,,,
JERRY,0.432,,,,
DENNIS,0.415,,,,
WALTER,0.399,,,,
PATRICK,0.389,,,,
PETER,0.381,,,,
HAROLD,0.371,,,,
DOUGLAS,0.367,,,,
HENRY,0.365,,,,
CARL,0.346,,,,
ARTHUR,0.335,,,,
RYAN,0.328,,,,
ROGER,0.322,,,,
JOE,0.321,,,,
JUAN,0.316,,,,
JACK,0.315,,,,
ALBERT,0.314,,,,
JONATHAN,0.313,,,,
JUSTIN,0.311,,,,
TERRY,0.311,,,,
GERALD,0.309,,,,
KEITH,0.308,,,,
SAMUEL,0.306,,,,
WILLIE,0.302,,,,
RALPH,0.282,,,,
LAWRENCE,0.282,,,,
NICHOLAS,0.275,,,,
ROY,0.273,,,,
BENJAMIN,0.27,,,,
BRUCE,0.263,,,,
BRANDON,0.26,,,,
ADAM,0.259,,,,
HARRY,0.251,,,,
FRED,0.251,,,,
WAYNE,0.249,,,,
BILLY,0.248,,,,
STEVE,0.246,,,,
LOUIS,0.243,,,,
JEREMY,0.242,,,,
AARON,0.24,,,,
RANDY,0.232,,,,
HOWARD,0.23,,,,
EUGENE,0.23,,,,
CARLOS,0.229,,,,
RUSSELL,0.224,,,,
BOBBY,0.223,,,,
VICTOR,0.222,,,,
MARTIN,0.216,,,,
ERNEST,0.215,,,,
PHILLIP,0.213,,,,
TODD,0.213,,,,
JESSE,0.209,,,,
CRAIG,0.206,,,,
ALAN,0.204,,,,
SHAWN,0.2,,,,
CLARENCE,0.197,,,,
SEAN,0.197,,,,
PHILIP,0.197,,,,
CHRIS,0.197,,,,
JOHNNY,0.195,,,,
EARL,0.193,,,,
JIMMY,0.191,,,,
ANTONIO,0.19,,,,
DANNY,0.19,,,,
BRYAN,0.19,,,,
TONY,0.19,,,,
LUIS,0.189,,,,
MIKE,0.189,,,,
STANLEY,0.186,,,,
LEONARD,0.186,,,,
NATHAN,0.185,,,,
DALE,0.184,,,,
MANUEL,0.181,,,,
RODNEY,0.18,,,,
CURTIS,0.18,,,,
NORMAN,0.177,,,,
ALLEN,0.174,,,,
MARVIN,0.171,,,,
VINCENT,0.168,,,,
GLENN,0.167,,,,
JEFFERY,0.166,,,,
TRAVIS,0.166,,,,
JEFF,0.166,,,,
CHAD,0.165,,,,
JACOB,0.165,,,,
LEE,0.162,,,,
MELVIN,0.162,,,,
ALFRED,0.162,,,,
KYLE,0.16,,,,
FRANCIS,0.16,,,,
BRADLEY,0.159,,,,
JESUS,0.155,,,,
HERBERT,0.155,,,,
FREDERICK,0.154,,,,
RAY,0.153,,,,
JOEL,0.152,,,,
EDWIN,0.148,,,,
DON,0.145,,,,
EDDIE,0.144,,,,
RICKY,0.141,,,,
TROY,0.138,,,,
RANDALL,0.138,,,,
BARRY,0.134,,,,
ALEXANDER,0.132,,,,
BERNARD,0.127,,,,
MARIO,0.125,,,,
LEROY,0.125,,,,
FRANCISCO,0.124,,,,
MARCUS,0.124,,,,
MICHEAL,0.123,,,,
THEODORE,0.123,,,,
CLIFFORD,0.123,,,,
MIGUEL,0.122,,,,
OSCAR,0.122,,,,
JAY,0.118,,,,
JIM,0.118,,,,
TOM,0.117,,,,
CALVIN,0.115,,,,
ALEX,0.115,,,,
JON,0.115,,,,
RONNIE,0.113,,,,
BILL,0.112,,,,
LLOYD,0.112,,,,
TOMMY,0.112,,,,
